|TCP   |Source Port |Destination Port |Sequence Number  |Acknowledge Number |Source IP        |Dest IP          |Urgent Flag | Retrans|
|193   |22          |58300            |1251295715       |603062000          |146.141.28.253   |146.141.28.130   |0           |32       |
|194   |58300       |22               |603062000        |1251295715         |146.141.28.130   |146.141.28.253   |0           |32       |
|195   |22          |58300            |1251295827       |603062000          |146.141.28.253   |146.141.28.130   |0           |32       |
|196   |58300       |22               |603062000        |1251295827         |146.141.28.130   |146.141.28.253   |0           |32       |
|197   |58300       |22               |603062000        |1251295939         |146.141.28.130   |146.141.28.253   |0           |32       |
|198   |22          |58300            |1251295939       |603062000          |146.141.28.253   |146.141.28.130   |0           |33       |
|199   |22          |58300            |1251296051       |603062000          |146.141.28.253   |146.141.28.130   |0           |33       |
|200   |58300       |22               |603062000        |1251296051         |146.141.28.130   |146.141.28.253   |0           |33       |
|201   |58300       |22               |603062000        |1251296163         |146.141.28.130   |146.141.28.253   |0           |33       |
|202   |22          |58300            |1251296163       |603062000          |146.141.28.253   |146.141.28.130   |0           |34       |
|203   |22          |58300            |1251296275       |603062000          |146.141.28.253   |146.141.28.130   |0           |34       |
|204   |58300       |22               |603062000        |1251296275         |146.141.28.130   |146.141.28.253   |0           |34       |
|205   |58300       |22               |603062000        |1251296387         |146.141.28.130   |146.141.28.253   |0           |34       |
|206   |22          |58300            |1251296387       |603062000          |146.141.28.253   |146.141.28.130   |0           |35       |
|207   |22          |58300            |1251296499       |603062000          |146.141.28.253   |146.141.28.130   |0           |35       |
|208   |58300       |22               |603062000        |1251296499         |146.141.28.130   |146.141.28.253   |0           |35       |
|209   |58300       |22               |603062000        |1251296611         |146.141.28.130   |146.141.28.253   |0           |35       |
|210   |22          |58300            |1251296611       |603062000          |146.141.28.253   |146.141.28.130   |0           |36       |
|211   |22          |58300            |1251296723       |603062000          |146.141.28.253   |146.141.28.130   |0           |36       |
|212   |58300       |22               |603062000        |1251296723         |146.141.28.130   |146.141.28.253   |0           |36       |
|213   |58300       |22               |603062000        |1251296835         |146.141.28.130   |146.141.28.253   |0           |36       |
|214   |22          |58300            |1251296835       |603062000          |146.141.28.253   |146.141.28.130   |0           |37       |
|215   |22          |58300            |1251296947       |603062000          |146.141.28.253   |146.141.28.130   |0           |37       |
|216   |58300       |22               |603062000        |1251296947         |146.141.28.130   |146.141.28.253   |0           |37       |
|217   |22          |58300            |1251297059       |603062000          |146.141.28.253   |146.141.28.130   |0           |37       |
|218   |58300       |22               |603062000        |1251297059         |146.141.28.130   |146.141.28.253   |0           |37       |
|219   |22          |58300            |1251297171       |603062000          |146.141.28.253   |146.141.28.130   |0           |37       |
|220   |58300       |22               |603062000        |1251297171         |146.141.28.130   |146.141.28.253   |0           |37       |
|221   |58300       |22               |603062000        |1251297283         |146.141.28.130   |146.141.28.253   |0           |37       |
|222   |22          |58300            |1251297283       |603062000          |146.141.28.253   |146.141.28.130   |0           |38       |
|223   |22          |58300            |1251297395       |603062000          |146.141.28.253   |146.141.28.130   |0           |38       |
|224   |58300       |22               |603062000        |1251297395         |146.141.28.130   |146.141.28.253   |0           |38       |
|225   |22          |58300            |1251297507       |603062000          |146.141.28.253   |146.141.28.130   |0           |38       |
|226   |58300       |22               |603062000        |1251297507         |146.141.28.130   |146.141.28.253   |0           |38       |
|227   |22          |58300            |1251297619       |603062000          |146.141.28.253   |146.141.28.130   |0           |38       |
|228   |58300       |22               |603062000        |1251297619         |146.141.28.130   |146.141.28.253   |0           |38       |
|229   |22          |58300            |1251297731       |603062000          |146.141.28.253   |146.141.28.130   |0           |38       |
|230   |58300       |22               |603062000        |1251297731         |146.141.28.130   |146.141.28.253   |0           |38       |
|231   |22          |58300            |1251297843       |603062000          |146.141.28.253   |146.141.28.130   |0           |38       |
|232   |58300       |22               |603062000        |1251297843         |146.141.28.130   |146.141.28.253   |0           |38       |
|233   |22          |58300            |1251297955       |603062000          |146.141.28.253   |146.141.28.130   |0           |38       |
|234   |58300       |22               |603062000        |1251297955         |146.141.28.130   |146.141.28.253   |0           |38       |
|235   |58300       |22               |603062000        |1251298067         |146.141.28.130   |146.141.28.253   |0           |38       |
|236   |22          |58300            |1251298067       |603062000          |146.141.28.253   |146.141.28.130   |0           |39       |
|237   |22          |58300            |1251298179       |603062000          |146.141.28.253   |146.141.28.130   |0           |39       |
|238   |58300       |22               |603062000        |1251298179         |146.141.28.130   |146.141.28.253   |0           |39       |
|239   |22          |58300            |1251298291       |603062000          |146.141.28.253   |146.141.28.130   |0           |39       |
|240   |58300       |22               |603062000        |1251298291         |146.141.28.130   |146.141.28.253   |0           |39       |
|241   |22          |58300            |1251298403       |603062000          |146.141.28.253   |146.141.28.130   |0           |39       |
|242   |58300       |22               |603062000        |1251298403         |146.141.28.130   |146.141.28.253   |0           |39       |
|243   |58300       |22               |603062000        |1251298515         |146.141.28.130   |146.141.28.253   |0           |39       |
|244   |22          |58300            |1251298515       |603062000          |146.141.28.253   |146.141.28.130   |0           |40       |
|245   |22          |58300            |1251298627       |603062000          |146.141.28.253   |146.141.28.130   |0           |40       |
|246   |58300       |22               |603062000        |1251298627         |146.141.28.130   |146.141.28.253   |0           |40       |
|247   |22          |58300            |1251298739       |603062000          |146.141.28.253   |146.141.28.130   |0           |40       |
|248   |58300       |22               |603062000        |1251298739         |146.141.28.130   |146.141.28.253   |0           |40       |
|249   |22          |58300            |1251298851       |603062000          |146.141.28.253   |146.141.28.130   |0           |40       |
|250   |58300       |22               |603062000        |1251298851         |146.141.28.130   |146.141.28.253   |0           |40       |
|251   |58300       |22               |603062000        |1251298963         |146.141.28.130   |146.141.28.253   |0           |40       |
|252   |22          |58300            |1251298963       |603062000          |146.141.28.253   |146.141.28.130   |0           |41       |
|253   |22          |58300            |1251299075       |603062000          |146.141.28.253   |146.141.28.130   |0           |41       |
|254   |58300       |22               |603062000        |1251299075         |146.141.28.130   |146.141.28.253   |0           |41       |
|255   |58300       |22               |603062000        |1251299187         |146.141.28.130   |146.141.28.253   |0           |41       |
|256   |22          |58300            |1251299187       |603062000          |146.141.28.253   |146.141.28.130   |0           |42       |
|257   |22          |58300            |1251299299       |603062000          |146.141.28.253   |146.141.28.130   |0           |42       |
|258   |58300       |22               |603062000        |1251299299         |146.141.28.130   |146.141.28.253   |0           |42       |
|259   |22          |58300            |1251299411       |603062000          |146.141.28.253   |146.141.28.130   |0           |42       |
|260   |58300       |22               |603062000        |1251299411         |146.141.28.130   |146.141.28.253   |0           |42       |
|261   |58300       |22               |603062000        |1251299523         |146.141.28.130   |146.141.28.253   |0           |42       |
|262   |22          |58300            |1251299523       |603062000          |146.141.28.253   |146.141.28.130   |0           |43       |
|263   |22          |58300            |1251299635       |603062000          |146.141.28.253   |146.141.28.130   |0           |43       |
|264   |58300       |22               |603062000        |1251299635         |146.141.28.130   |146.141.28.253   |0           |43       |
|265   |22          |58300            |1251299747       |603062000          |146.141.28.253   |146.141.28.130   |0           |43       |
|266   |58300       |22               |603062000        |1251299747         |146.141.28.130   |146.141.28.253   |0           |43       |
|267   |22          |58300            |1251299859       |603062000          |146.141.28.253   |146.141.28.130   |0           |43       |
|268   |58300       |22               |603062000        |1251299859         |146.141.28.130   |146.141.28.253   |0           |43       |
|269   |22          |58300            |1251299971       |603062000          |146.141.28.253   |146.141.28.130   |0           |43       |
|270   |58300       |22               |603062000        |1251299971         |146.141.28.130   |146.141.28.253   |0           |43       |
|271   |58300       |22               |603062000        |1251300083         |146.141.28.130   |146.141.28.253   |0           |43       |
|272   |22          |58300            |1251300083       |603062000          |146.141.28.253   |146.141.28.130   |0           |44       |
|273   |22          |58300            |1251300195       |603062000          |146.141.28.253   |146.141.28.130   |0           |44       |
|274   |58300       |22               |603062000        |1251300195         |146.141.28.130   |146.141.28.253   |0           |44       |
|275   |22          |58300            |1251300307       |603062000          |146.141.28.253   |146.141.28.130   |0           |44       |
|276   |58300       |22               |603062000        |1251300307         |146.141.28.130   |146.141.28.253   |0           |44       |
|277   |22          |58300            |1251300419       |603062000          |146.141.28.253   |146.141.28.130   |0           |44       |
|278   |58300       |22               |603062000        |1251300419         |146.141.28.130   |146.141.28.253   |0           |44       |
|279   |58300       |22               |603062000        |1251300531         |146.141.28.130   |146.141.28.253   |0           |44       |
|280   |22          |58300            |1251300531       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|281   |22          |58300            |1251300643       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|282   |58300       |22               |603062000        |1251300643         |146.141.28.130   |146.141.28.253   |0           |45       |
|283   |22          |58300            |1251300755       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|284   |58300       |22               |603062000        |1251300755         |146.141.28.130   |146.141.28.253   |0           |45       |
|285   |22          |58300            |1251300867       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|286   |22          |58300            |1251300979       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|287   |22          |58300            |1251301091       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|288   |22          |58300            |1251301315       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|289   |22          |58300            |1251301427       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|290   |22          |58300            |1251301651       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|291   |22          |58300            |1251301763       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
|292   |22          |58300            |1251301987       |603062000          |146.141.28.253   |146.141.28.130   |0           |45       |
